episode,timestep,reward
38,800,20.9211
72,1600,22.9412
97,2400,31.4
124,3200,30.5185
147,4000,35.0
172,4800,31.28
193,5600,39.1429
210,6400,47.0588
218,7200,99.375
226,8000,88.375
234,8800,95.375
241,9600,132.0
244,10400,235.6667
247,11200,243.0
251,12000,234.75
255,12800,207.0
258,13600,223.3333
261,14400,304.3333
264,15200,237.3333
267,16000,276.3333
269,16800,305.0
273,17600,261.75
276,18400,253.6667
279,19200,230.3333
282,20000,261.6667
285,20800,329.3333
287,21600,329.0
291,22400,231.75
293,23200,338.0
296,24000,284.6667
299,24800,233.3333
302,25600,261.0
305,26400,274.6667
308,27200,287.0
310,28000,344.5
312,28800,400.0
314,29600,354.0
317,30400,300.6667
320,31200,342.0
322,32000,400.0
324,32800,312.0
329,33600,194.8
331,34400,278.5
335,35200,235.5
339,36000,211.5
343,36800,201.75
346,37600,253.3333
351,38400,176.6
353,39200,332.5
355,40000,383.0
359,40800,236.5
364,41600,155.6
367,42400,272.6667
369,43200,310.5
372,44000,333.3333
375,44800,266.0
378,45600,262.0
381,46400,238.3333
384,47200,275.3333
387,48000,293.6667
391,48800,198.0
393,49600,400.0
395,50400,400.0
397,51200,400.0
399,52000,316.5
401,52800,400.0
404,53600,312.0
406,54400,298.5
408,55200,400.0
410,56000,400.0
413,56800,326.3333
415,57600,297.5
418,58400,326.0
420,59200,400.0
422,60000,400.0
424,60800,400.0
426,61600,370.0
428,62400,400.0
430,63200,400.0
433,64000,279.3333
435,64800,400.0
437,65600,358.5
439,66400,400.0
441,67200,332.0
443,68000,400.0
445,68800,400.0
448,69600,369.0
450,70400,400.0
